"Points:0","Points:1","Points:2","enthalpy","force:0","force:1","force:2","geometry","liquid fraction","physPressure","physVelocity:0","physVelocity:1","physVelocity:2","temperature","velocity_coupled:0","velocity_coupled:1","velocity_coupled:2"
0.00010501,0.000104,-0.099896,2.9382,0,0,0,2,0,0,0,0,0,0,0,0,0
0.002105,0.000104,-0.099896,2.9298,0,0,0,2,0,0,0,0,0,0,0,0,0
0.00010501,0.000104,-0.097896,3.4187,0,0,0,3,1,0.054768,0.00099,0,0,1.5,0.032703,0,0
0.002105,0.000104,-0.097896,3.3974,0,0,0,1,1,0.0049935,0.00079427,-1.4563e-06,0.00035211,1.4787,0.026236,-4.8198e-05,0.011631
0.004105,0.000104,-0.099896,2.9347,0,0,0,2,0,0,0,0,0,0,0,0,0
0.004105,0.000104,-0.097896,3.4001,0,0,0,1,1,-0.009621,0.0004622,-6.903e-06,9.0225e-05,1.4815,0.015267,-0.00022799,0.002979
0.006105,0.000104,-0.099896,2.9384,0,0,0,2,0,0,0,0,0,0,0,0,0
0.006105,0.000104,-0.097896,3.4059,0,0,0,1,1,0.0045285,0.00046277,1.1105e-06,-7.8841e-05,1.4873,0.015287,3.6706e-05,-0.0026048
0.008105,0.000104,-0.099896,2.938,0,0,0,2,0,0,0,0,0,0,0,0,0
0.008105,0.000104,-0.097896,3.4084,0,0,0,1,1,0.012587,0.00056874,-8.0797e-06,-3.2805e-05,1.4898,0.018787,-0.00026679,-0.0010834
0.010105,0.000104,-0.099896,2.9357,0,0,0,2,0,0,0,0,0,0,0,0,0
0.010105,0.000104,-0.097896,3.4071,0,0,0,1,1,0.0031016,0.00051787,-8.3766e-06,9.4936e-05,1.4885,0.017106,-0.00027661,0.0031352
0.012105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.012105,0.000104,-0.097896,3.4095,0,0,0,1,1,-0.00036669,0.00042559,-7.1058e-06,1.584e-05,1.491,0.014058,-0.00023471,0.00052253
0.014105,0.000104,-0.099896,2.9381,0,0,0,2,0,0,0,0,0,0,0,0,0
0.014105,0.000104,-0.097896,3.4099,0,0,0,1,1,0.0068523,0.00043459,-2.6715e-06,-2.2159e-05,1.4914,0.014356,-8.8217e-05,-0.00073207
0.016105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.016105,0.000104,-0.097896,3.4096,0,0,0,1,1,0.0072508,0.00045293,1.4109e-06,1.307e-05,1.4911,0.014961,4.6622e-05,0.00043159
0.018105,0.000104,-0.099896,2.9372,0,0,0,2,0,0,0,0,0,0,0,0,0
0.018105,0.000104,-0.097896,3.4099,0,0,0,1,1,0.0026642,0.00041364,-3.5729e-08,2.757e-05,1.4913,0.013663,-1.1956e-06,0.00091026
0.020105,0.000104,-0.099896,2.9377,0,0,0,2,0,0,0,0,0,0,0,0,0
0.020105,0.000104,-0.097896,3.4104,0,0,0,1,1,0.0031155,0.00038499,1.5832e-07,-5.3923e-07,1.4919,0.012717,5.1949e-06,-1.8114e-05
0.022105,0.000104,-0.099896,2.9376,0,0,0,2,0,0,0,0,0,0,0,0,0
0.022105,0.000104,-0.097896,3.41,0,0,0,1,1,0.006113,0.00039324,-3.6608e-06,1.1086e-06,1.4914,0.012989,-0.00012094,3.6526e-05
0.024105,0.000104,-0.099896,2.9373,0,0,0,2,0,0,0,0,0,0,0,0,0
0.024105,0.000104,-0.097896,3.41,0,0,0,1,1,0.0048104,0.00038591,-1.8954e-06,1.7132e-05,1.4914,0.012747,-6.265e-05,0.00056573
0.026105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.026105,0.000104,-0.097896,3.4096,0,0,0,1,1,0.00247,0.00035183,2.9625e-06,1.1137e-05,1.491,0.011622,9.7783e-05,0.00036763
0.028105,0.000104,-0.099896,2.9377,0,0,0,2,0,0,0,0,0,0,0,0,0
0.028105,0.000104,-0.097896,3.4099,0,0,0,1,1,0.0046851,0.00035353,-8.6135e-07,-6.4047e-06,1.4913,0.011678,-2.8521e-05,-0.00021168
0.030105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.030105,0.000104,-0.097896,3.4095,0,0,0,1,1,0.0056292,0.00035706,-2.6615e-06,7.6306e-06,1.491,0.011794,-8.7995e-05,0.00025204
0.032105,0.000104,-0.099896,2.9372,0,0,0,2,0,0,0,0,0,0,0,0,0
0.032105,0.000104,-0.097896,3.409,0,0,0,1,1,0.0031646,0.00033213,3.0042e-07,1.6525e-05,1.4905,0.010971,9.8245e-06,0.00054577
0.034105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.034105,0.000104,-0.097896,3.4089,0,0,0,1,1,0.0031566,0.00031788,-9.5469e-07,2.9623e-06,1.4903,0.0105,-3.1638e-05,9.778e-05
0.036105,0.000104,-0.099896,2.9374,0,0,0,2,0,0,0,0,0,0,0,0,0
0.036105,0.000104,-0.097896,3.4085,0,0,0,1,1,0.0048584,0.00032302,-1.3363e-08,-2.9593e-06,1.4899,0.01067,-5.6028e-07,-9.7743e-05
0.038105,0.000104,-0.099896,2.9371,0,0,0,2,0,0,0,0,0,0,0,0,0
0.038105,0.000104,-0.097896,3.4079,0,0,0,1,1,0.0045142,0.0003186,-1.1174e-06,9.9308e-06,1.4893,0.010524,-3.704e-05,0.00032808
0.040105,0.000104,-0.099896,2.9371,0,0,0,2,0,0,0,0,0,0,0,0,0
0.040105,0.000104,-0.097896,3.4075,0,0,0,1,1,0.0032068,0.00030058,-7.356e-08,9.2091e-06,1.4889,0.0099287,-2.5632e-06,0.00030423
0.042105,0.000104,-0.099896,2.9371,0,0,0,2,0,0,0,0,0,0,0,0,0
0.042105,0.000104,-0.097896,3.4067,0,0,0,1,1,0.0036148,0.00029343,3.1135e-07,2.1975e-06,1.4881,0.0096926,1.0149e-05,7.2661e-05
0.044105,0.000104,-0.099896,2.9369,0,0,0,2,0,0,0,0,0,0,0,0,0
0.044105,0.000104,-0.097896,3.4059,0,0,0,1,1,0.0044362,0.00029483,-1.1391e-06,2.5147e-06,1.4873,0.0097389,-3.778e-05,8.3171e-05
0.046105,0.000104,-0.099896,2.9367,0,0,0,2,0,0,0,0,0,0,0,0,0
0.046105,0.000104,-0.097896,3.4049,0,0,0,1,1,0.0036698,0.00028548,-8.7536e-07,7.8317e-06,1.4863,0.0094302,-2.9068e-05,0.00025882
0.048105,0.000104,-0.099896,2.9366,0,0,0,2,0,0,0,0,0,0,0,0,0
0.048105,0.000104,-0.097896,3.4037,0,0,0,1,1,0.0034022,0.00027692,9.664e-07,4.0674e-06,1.4851,0.0091474,3.1768e-05,0.00013449
0.050105,0.000104,-0.099896,2.9364,0,0,0,2,0,0,0,0,0,0,0,0,0
0.050105,0.000104,-0.097896,3.4024,0,0,0,1,1,0.0040294,0.00027545,-1.6619e-07,3.0387e-06,1.4838,0.0090988,-5.6464e-06,0.00010055
0.052105,0.000104,-0.099896,2.9361,0,0,0,2,0,0,0,0,0,0,0,0,0
0.052105,0.000104,-0.097896,3.4006,0,0,0,1,1,0.00377,0.00026938,-6.5203e-07,5.5861e-06,1.4821,0.0088983,-2.1694e-05,0.00018471
0.054105,0.000104,-0.099896,2.9359,0,0,0,2,0,0,0,0,0,0,0,0,0
0.054105,0.000104,-0.097896,3.3986,0,0,0,1,1,0.0034551,0.00026183,-7.3396e-09,5.439e-06,1.48,0.0086492,-3.9864e-07,0.00017987
0.056105,0.000104,-0.099896,2.9356,0,0,0,2,0,0,0,0,0,0,0,0,0
0.056105,0.000104,-0.097896,3.3964,0,0,0,1,1,0.003533,0.00025749,3.2991e-07,2.1062e-06,1.4778,0.0085059,1.0743e-05,6.9796e-05
0.058105,0.000104,-0.099896,2.9352,0,0,0,2,0,0,0,0,0,0,0,0,0
0.058105,0.000104,-0.097896,3.3935,0,0,0,1,1,0.0037349,0.00025557,-1.5458e-07,3.5147e-06,1.4749,0.0084424,-5.2578e-06,0.00011635
0.060105,0.000104,-0.099896,2.9347,0,0,0,2,0,0,0,0,0,0,0,0,0
0.060105,0.000104,-0.097896,3.39,0,0,0,1,1,0.0037658,0.00025142,-4.6539e-08,5.6673e-06,1.4714,0.0083053,-1.6823e-06,0.00018747
0.062105,0.000104,-0.099896,2.9342,0,0,0,2,0,0,0,0,0,0,0,0,0
0.062105,0.000104,-0.097896,3.386,0,0,0,1,1,0.0033132,0.0002437,3.8972e-07,4.6117e-06,1.4675,0.0080502,1.2738e-05,0.00015261
0.064105,0.000104,-0.099896,2.9336,0,0,0,2,0,0,0,0,0,0,0,0,0
0.064105,0.000104,-0.097896,3.3813,0,0,0,1,1,0.0034091,0.00024017,4.6293e-07,1.5572e-06,1.4627,0.0079337,1.5155e-05,5.1738e-05
0.066105,0.000104,-0.099896,2.9328,0,0,0,2,0,0,0,0,0,0,0,0,0
0.066105,0.000104,-0.097896,3.3754,0,0,0,1,1,0.0037536,0.00023892,-2.4429e-07,3.6584e-06,1.4568,0.0078925,-8.1956e-06,0.00012117
0.068105,0.000104,-0.099896,2.9319,0,0,0,2,0,0,0,0,0,0,0,0,0
0.068105,0.000104,-0.097896,3.3685,0,0,0,1,1,0.0034371,0.00023389,9.9782e-08,5.1599e-06,1.4499,0.0077263,3.183e-06,0.00017077
0.070105,0.000104,-0.099896,2.9308,0,0,0,2,0,0,0,0,0,0,0,0,0
0.070105,0.000104,-0.097896,3.3604,0,0,0,1,1,0.0033354,0.0002294,8.0326e-07,3.2399e-06,1.4418,0.007578,2.6426e-05,0.00010736
0.072105,0.000104,-0.099896,2.9295,0,0,0,2,0,0,0,0,0,0,0,0,0
0.072105,0.000104,-0.097896,3.3506,0,0,0,1,1,0.0035305,0.00022638,5.8284e-07,2.24e-06,1.432,0.0074785,1.9154e-05,7.4355e-05
0.074105,0.000104,-0.099896,2.928,0,0,0,2,0,0,0,0,0,0,0,0,0
0.074105,0.000104,-0.097896,3.3389,0,0,0,1,1,0.0034818,0.00022301,-1.6394e-08,4.21e-06,1.4203,0.0073669,-6.266e-07,0.00013943
0.076105,0.000104,-0.099896,2.9262,0,0,0,2,0,0,0,0,0,0,0,0,0
0.076105,0.000104,-0.097896,3.3249,0,0,0,1,1,0.0033305,0.00021886,4.3158e-07,3.7027e-06,1.4063,0.0072299,1.4181e-05,0.00012268
0.078105,0.000104,-0.099896,2.9241,0,0,0,2,0,0,0,0,0,0,0,0,0
0.078105,0.000104,-0.097896,3.3066,0,0,0,1,1,0.0033561,0.00021582,8.013e-07,2.4239e-06,1.388,0.020677,1.6754e-05,0.0016988
0.00010501,0.000104,-0.095896,3.4187,0,0,0,3,1,-0.0067968,0.00099,0,0,1.5,0.032703,0,0
0.002105,0.000104,-0.095896,3.4058,0,0,0,1,1,0.011444,0.0011768,-4.4273e-06,0.00040337,1.4872,0.038871,-0.00014633,0.013325
0.004105,0.000104,-0.095896,3.4016,0,0,0,1,1,0.0042822,0.0013039,7.49e-06,0.00026396,1.483,0.043069,0.00024747,0.0087174
0.006105,0.000104,-0.095896,3.4136,0,0,0,1,1,0.0003207,0.0011091,1.9917e-06,-8.5112e-06,1.4951,0.036635,6.5954e-05,-0.00028277
0.008105,0.000104,-0.095896,3.4143,0,0,0,1,1,0.0036315,0.00093076,5.4438e-06,-2.2709e-05,1.4958,0.030746,0.00017988,-0.00074996
0.010105,0.000104,-0.095896,3.4122,0,0,0,1,1,0.0072674,0.00092676,9.1094e-06,9.4388e-05,1.4936,0.030613,0.00030097,0.0031173
0.012105,0.000104,-0.095896,3.4111,0,0,0,1,1,0.004472,0.00095047,-2.703e-06,5.9162e-05,1.4925,0.031396,-8.9188e-05,0.001953
0.014105,0.000104,-0.095896,3.4128,0,0,0,1,1,0.0027592,0.00089501,2.0571e-06,5.9876e-06,1.4942,0.029564,6.8009e-05,0.00019725
0.016105,0.000104,-0.095896,3.4131,0,0,0,1,1,0.0050229,0.00085354,-1.6233e-06,2.4111e-05,1.4946,0.028195,-5.3558e-05,0.00079626
0.018105,0.000104,-0.095896,3.4132,0,0,0,1,1,0.0051181,0.00083679,-7.1332e-06,5.4636e-05,1.4946,0.027641,-0.00023553,0.0018042
0.020105,0.000104,-0.095896,3.4123,0,0,0,1,1,0.0033601,0.00080697,6.519e-07,1.8445e-05,1.4937,0.026656,2.1557e-05,0.0006088
0.022105,0.000104,-0.095896,3.4122,0,0,0,1,1,0.0046185,0.00078338,1.2546e-06,1.4963e-05,1.4937,0.025877,4.1416e-05,0.00049408
0.024105,0.000104,-0.095896,3.4124,0,0,0,1,1,0.0049099,0.00076817,-3.4549e-06,3.7325e-05,1.4938,0.025375,-0.00011414,0.0012328
0.026105,0.000104,-0.095896,3.412,0,0,0,1,1,0.0036149,0.00075322,-2.8339e-06,3.0926e-05,1.4934,0.024881,-9.3624e-05,0.0010213
0.028105,0.000104,-0.095896,3.4117,0,0,0,1,1,0.0038867,0.00072653,-4.1546e-07,1.0175e-05,1.4931,0.023999,-1.3788e-05,0.00033598
0.030105,0.000104,-0.095896,3.4115,0,0,0,1,1,0.0044734,0.00070359,1.8029e-07,2.1387e-05,1.4929,0.023242,5.8557e-06,0.00070651
0.032105,0.000104,-0.095896,3.411,0,0,0,1,1,0.0043112,0.00069548,-1.2409e-06,2.9828e-05,1.4924,0.022974,-4.1078e-05,0.00098529
0.034105,0.000104,-0.095896,3.4106,0,0,0,1,1,0.0039266,0.00068294,-4.8905e-07,2.0085e-05,1.4921,0.022559,-1.6279e-05,0.00066348
0.036105,0.000104,-0.095896,3.4102,0,0,0,1,1,0.0036865,0.00066099,-1.2767e-06,1.2029e-05,1.4916,0.021834,-4.2317e-05,0.00039748
0.038105,0.000104,-0.095896,3.4097,0,0,0,1,1,0.0040017,0.00064536,-5.0244e-07,1.995e-05,1.4911,0.021318,-1.6749e-05,0.00065924
0.040105,0.000104,-0.095896,3.409,0,0,0,1,1,0.0041296,0.00063724,-4.3205e-07,2.1992e-05,1.4904,0.02105,-1.4441e-05,0.00072665
0.042105,0.000104,-0.095896,3.4083,0,0,0,1,1,0.0038175,0.00062289,-5.5108e-08,1.4252e-05,1.4897,0.020576,-2.0087e-06,0.00047106
